passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
263.00 ,Vihaan Swaminathan,9-20-2022,54.00 ,264.31 ,3.65 
264.00 ,Oorja Kalita,2-26-2023,64.00 ,268.76 ,4.41 
265.00 ,Baiju Boase,5-26-2023,57.00 ,423.83 ,3.49 
266.00 ,Eshani Soman,1-26-2023,63.00 ,929.83 ,4.06 
267.00 ,Jhanvi Sandhu,04-07-2023,92.00 ,151.34 ,3.67 
268.00 ,Nishith Iyer,3-24-2023,24.00 ,406.07 ,3.54 
269.00 ,Badal Manda,07-11-2023,24.00 ,1748.42 ,3.19 
270.00 ,Vaibhav Dave,10-06-2022,25.00 ,1256.28 ,3.15 
271.00 ,Shray Sunder,05-02-2023,83.00 ,755.85 ,3.15 
272.00 ,Eva Vig,12-30-2022,98.00 ,1657.98 ,4.34 
273.00 ,Shamik Subramanian,3-26-2023,11.00 ,405.24 ,4.86 
274.00 ,Dhanush Gokhale,01-03-2023,80.00 ,1534.44 ,4.37 
275.00 ,Rati Krishna,11-06-2022,97.00 ,918.67 ,3.79 
276.00 ,Nayantara Borra,10-25-2022,75.00 ,593.97 ,3.93 
277.00 ,Neelofar Datta,12-13-2022,92.00 ,550.34 ,3.25 
278.00 ,Ira Dasgupta,02-05-2023,32.00 ,1737.33 ,3.83 
279.00 ,Ahana  Batta,3-27-2023,74.00 ,1151.43 ,3.10 
280.00 ,Emir Sankaran,5-28-2023,100.00 ,1936.61 ,4.14 
281.00 ,Aayush Hayer,1-20-2023,47.00 ,837.23 ,4.75 
282.00 ,Baiju Bhargava,6-16-2023,92.00 ,1514.25 ,3.54 
283.00 ,Heer Ratti,8-25-2022,29.00 ,1881.61 ,4.37 
284.00 ,Siya Gara,06-01-2023,49.00 ,973.01 ,4.02 
285.00 ,Kismat Sachdev,11-07-2022,18.00 ,1855.33 ,4.91 
286.00 ,Neelofar Brahmbhatt,01-08-2023,34.00 ,1064.91 ,3.36 
287.00 ,Ojas Kothari,8-29-2022,11.00 ,1049.99 ,3.35 
288.00 ,Tiya Bhalla,4-13-2023,20.00 ,650.75 ,4.45 
289.00 ,Neysa Gole,8-31-2022,69.00 ,1033.27 ,3.11 
290.00 ,Stuvan Char,10-26-2022,66.00 ,832.13 ,4.71 
291.00 ,Shray Dixit,10-17-2022,67.00 ,446.11 ,4.27 
292.00 ,Ivan Buch,05-06-2023,23.00 ,1963.22 ,4.91 
293.00 ,Vritika Rao,6-17-2023,90.00 ,914.84 ,4.06 
294.00 ,Vedika Shroff,09-02-2022,58.00 ,1534.93 ,3.90 
295.00 ,Nitara Kalla,03-10-2023,35.00 ,1916.86 ,3.83 
296.00 ,Riaan Vala,09-12-2022,66.00 ,785.13 ,3.66 
297.00 ,Rhea Chaudhari,5-13-2023,25.00 ,807.09 ,3.28 
298.00 ,Nayantara Issac,6-15-2023,87.00 ,363.54 ,3.71 
299.00 ,Krish Srinivas,2-16-2023,34.00 ,1697.72 ,3.53 
300.00 ,Vihaan Ahluwalia,01-03-2023,68.00 ,1948.69 ,3.76 
301.00 ,Mehul Handa,6-20-2023,18.00 ,1009.50 ,4.35 
302.00 ,Ishita Johal,06-11-2023,100.00 ,1670.59 ,4.27 
303.00 ,Zain Dar,08-10-2022,87.00 ,857.29 ,4.19 
304.00 ,Samar Krishnan,02-07-2023,51.00 ,886.74 ,4.18 
305.00 ,Bhavin Dubey,4-24-2023,13.00 ,356.21 ,4.94 
306.00 ,Samar Majumdar,03-04-2023,43.00 ,432.13 ,4.55 
307.00 ,Ivan Kothari,02-06-2023,78.00 ,1401.82 ,3.82 
308.00 ,Seher Bose,5-31-2023,97.00 ,770.58 ,4.05 
309.00 ,Hazel Varghese,9-18-2022,69.00 ,195.01 ,4.35 
310.00 ,Ivan Kari,2-25-2023,90.00 ,1788.99 ,4.59 
311.00 ,Amira Ramachandran,8-19-2022,49.00 ,620.31 ,4.52 
312.00 ,Ritvik Chopra,07-04-2023,74.00 ,1011.96 ,4.61 
313.00 ,Raunak Agrawal,10-23-2022,18.00 ,1284.14 ,3.93 
314.00 ,Yashvi Bhatia,02-03-2023,69.00 ,424.33 ,4.75 
315.00 ,Abram Sidhu,12-22-2022,28.00 ,1843.23 ,4.33 
316.00 ,Eva Chad,9-20-2022,75.00 ,113.77 ,4.35 
317.00 ,Pari Vaidya,11-24-2022,83.00 ,1822.88 ,4.35 
318.00 ,Ishaan Sem,03-07-2023,93.00 ,471.79 ,4.13 
319.00 ,Faiyaz Ganesan,03-02-2023,16.00 ,1556.88 ,3.36 
320.00 ,Dhruv Doshi,10-22-2022,64.00 ,1621.12 ,4.21 
321.00 ,Heer Bedi,2-18-2023,75.00 ,1179.46 ,4.48 
322.00 ,Anya Biswas,5-14-2023,61.00 ,279.44 ,3.14 
323.00 ,Kimaya Bhalla,1-21-2023,64.00 ,1141.66 ,3.87 
324.00 ,Manjari Chakrabarti,1-27-2023,28.00 ,953.98 ,4.49 
325.00 ,Samar Sarraf,11-26-2022,80.00 ,1506.86 ,4.09 
326.00 ,Gatik Lala,5-22-2023,62.00 ,1473.27 ,4.11 
327.00 ,Mehul Mani,08-11-2022,66.00 ,1058.45 ,3.83 
328.00 ,Indrans Choudhury,10-10-2022,24.00 ,103.49 ,4.71 
329.00 ,Shaan Sheth,6-14-2023,91.00 ,341.13 ,4.58 
330.00 ,Zain Dutt,03-08-2023,90.00 ,1701.20 ,3.05 
331.00 ,Alisha Khurana,5-13-2023,17.00 ,830.75 ,4.10 
332.00 ,Rhea Vig,9-13-2022,32.00 ,284.08 ,3.11 
333.00 ,Raunak Agarwal,10-03-2022,95.00 ,1755.47 ,3.94 
334.00 ,Lagan Sanghvi,06-03-2023,54.00 ,259.67 ,3.56 
335.00 ,Farhan Malhotra,4-16-2023,100.00 ,1287.67 ,3.68 
336.00 ,Dishani Arya,06-04-2023,16.00 ,671.62 ,4.69 
337.00 ,Raghav Rajan,3-16-2023,13.00 ,423.83 ,4.15 
338.00 ,Umang Mand,02-05-2023,66.00 ,1734.89 ,4.13 
339.00 ,Tejas Varughese,9-30-2022,89.00 ,165.65 ,4.60 
340.00 ,Neelofar Sibal,5-21-2023,91.00 ,662.18 ,3.80 
341.00 ,Urvi Bansal,10-07-2022,28.00 ,1353.96 ,4.93 
342.00 ,Jivin Lanka,09-01-2022,18.00 ,713.74 ,3.75 
343.00 ,Zoya Karan,03-08-2023,36.00 ,1287.07 ,3.27 
344.00 ,Samarth Chowdhury,05-08-2023,45.00 ,586.24 ,4.37 
345.00 ,Miraan Sandal,11-06-2022,12.00 ,1275.66 ,3.64 
346.00 ,Suhana Sankar,4-26-2023,99.00 ,162.98 ,4.76 
347.00 ,Nitya Dhingra,2-17-2023,80.00 ,1132.96 ,3.66 
348.00 ,Rhea Chana,8-13-2022,64.00 ,367.73 ,4.93 
349.00 ,Kiaan Comar,06-01-2023,37.00 ,1254.99 ,4.94 
350.00 ,Amani Master,12-24-2022,98.00 ,755.14 ,3.22 
351.00 ,Anaya Dhar,3-19-2023,45.00 ,454.66 ,4.62 
352.00 ,Jayesh Agrawal,4-26-2023,69.00 ,1185.69 ,3.10 
353.00 ,Lavanya Kumer,8-13-2022,41.00 ,785.06 ,3.59 
354.00 ,Rati Gade,12-21-2022,12.00 ,999.03 ,4.72 
355.00 ,Anaya Doctor,6-25-2023,21.00 ,998.98 ,3.47 
356.00 ,Damini Dewan,12-15-2022,76.00 ,107.76 ,3.05 
357.00 ,Riaan Sagar,1-27-2023,40.00 ,717.51 ,4.30 
358.00 ,Tiya Lala,9-16-2022,87.00 ,1351.40 ,4.77 
359.00 ,Zain Seshadri,11-06-2022,84.00 ,1183.35 ,3.16 
360.00 ,Neysa Iyengar,9-27-2022,78.00 ,1853.44 ,4.05 
361.00 ,Lakshit Gandhi,09-10-2022,34.00 ,1205.96 ,3.37 
362.00 ,Himmat Ramaswamy,10-08-2022,81.00 ,1966.41 ,4.13 
363.00 ,Indrajit Grover,01-03-2023,38.00 ,1180.65 ,3.07 
364.00 ,Aarna Rout,6-16-2023,96.00 ,321.92 ,3.82 
365.00 ,Aarav Luthra,4-24-2023,94.00 ,925.57 ,4.23 
366.00 ,Raghav Divan,9-27-2022,93.00 ,750.38 ,4.14 
367.00 ,Ira Kunda,4-22-2023,40.00 ,561.23 ,4.29 
368.00 ,Hunar Mannan,12-17-2022,58.00 ,988.76 ,4.50 
369.00 ,Mahika Talwar,03-10-2023,89.00 ,881.51 ,4.02 
370.00 ,Shlok Deep,2-18-2023,61.00 ,1189.85 ,3.39 
371.00 ,Amani Kohli,6-25-2023,96.00 ,1310.25 ,3.18 
372.00 ,Madhav Khurana,10-10-2022,60.00 ,1913.02 ,3.99 
373.00 ,Kashvi Ghose,06-01-2023,87.00 ,1180.83 ,3.36 
374.00 ,Saira Ramanathan,2-20-2023,48.00 ,138.46 ,4.64 
375.00 ,Vardaniya Ramanathan,5-15-2023,41.00 ,274.18 ,4.81 
376.00 ,Taran Talwar,4-22-2023,97.00 ,609.77 ,3.09 
377.00 ,Zeeshan Kari,9-19-2022,60.00 ,1929.04 ,3.48 
378.00 ,Hansh Gupta,12-30-2022,11.00 ,1436.99 ,3.77 
379.00 ,Saira Kala,5-31-2023,83.00 ,1728.34 ,4.00 
380.00 ,Samiha Mandal,06-03-2023,96.00 ,261.25 ,4.85 
381.00 ,Ehsaan Chaudhuri,8-25-2022,45.00 ,851.53 ,3.29 
382.00 ,Siya Chandra,03-09-2023,60.00 ,991.71 ,4.73 
383.00 ,Ojas Khatri,8-16-2022,58.00 ,493.26 ,3.61 
384.00 ,Yuvaan Ratta,02-03-2023,25.00 ,1934.64 ,3.92 
385.00 ,Uthkarsh Sachdeva,12-26-2022,43.00 ,1928.04 ,4.63 
386.00 ,Raghav Sem,06-02-2023,53.00 ,1916.41 ,4.91 
387.00 ,Aaryahi Chakrabarti,11-06-2022,90.00 ,1796.00 ,4.40 
388.00 ,Farhan Sheth,01-10-2023,42.00 ,1510.39 ,3.54 
389.00 ,Zara Biswas,11-04-2022,21.00 ,1474.30 ,3.02 
390.00 ,Vedika Desai,8-14-2022,66.00 ,922.05 ,4.27 
391.00 ,Pari Grover,9-28-2022,13.00 ,1681.52 ,3.40 
392.00 ,Anay Sampath,05-04-2023,74.00 ,1378.22 ,3.17 
393.00 ,Siya Karnik,03-08-2023,10.00 ,1935.98 ,4.42 
394.00 ,Lavanya Sandhu,2-24-2023,91.00 ,1750.39 ,4.46 
395.00 ,Samaira Varghese,02-08-2023,95.00 ,1840.45 ,4.62 
396.00 ,Indrajit Bajwa,4-20-2023,42.00 ,1784.66 ,4.77 
397.00 ,Zaina Sule,3-20-2023,69.00 ,157.89 ,3.63 
398.00 ,Rati Taneja,3-19-2023,23.00 ,1724.70 ,3.47 
399.00 ,Siya Soman,12-01-2022,29.00 ,390.37 ,4.29 
400.00 ,Aarush Chandran,11-19-2022,58.00 ,218.91 ,3.46 
401.00 ,Hazel Johal,09-12-2022,24.00 ,1352.59 ,3.75 
402.00 ,Riya Golla,12-18-2022,27.00 ,515.84 ,4.90 
403.00 ,Sumer Bandi,04-11-2023,61.00 ,1283.78 ,4.67 
404.00 ,Ryan Deshpande,1-31-2023,71.00 ,1205.05 ,3.82 
405.00 ,Madhup Lata,4-20-2023,49.00 ,448.35 ,4.80 
406.00 ,Nishith Manda,6-21-2023,67.00 ,807.67 ,4.07 
407.00 ,Ishaan Dass,2-16-2023,43.00 ,1556.73 ,4.17 
408.00 ,Vihaan Khare,12-20-2022,33.00 ,1158.45 ,4.49 
409.00 ,Shamik Deep,01-03-2023,38.00 ,1993.29 ,3.73 
410.00 ,Bhavin Issac,10-29-2022,16.00 ,1323.55 ,4.84 
411.00 ,Charvi Kaur,5-13-2023,73.00 ,816.72 ,4.47 
412.00 ,Advik Hegde,11-07-2022,51.00 ,936.03 ,4.55 
413.00 ,Samaira Butala,07-02-2023,85.00 ,1063.47 ,3.15 
414.00 ,Vivaan Khalsa,3-29-2023,94.00 ,1915.29 ,4.48 
415.00 ,Azad Wali,4-24-2023,88.00 ,1383.23 ,3.65 
416.00 ,Parinaaz Vohra,1-31-2023,23.00 ,1570.79 ,3.82 
417.00 ,Anahi Shere,04-01-2023,44.00 ,1090.42 ,3.80 
418.00 ,Farhan Kuruvilla,6-28-2023,83.00 ,1270.88 ,3.47 
419.00 ,Rasha Bains,2-26-2023,88.00 ,823.33 ,4.93 
420.00 ,Lakshay Bhatia,5-31-2023,90.00 ,241.63 ,4.88 
421.00 ,Yuvaan Wali,10-10-2022,85.00 ,1685.84 ,4.60 
422.00 ,Anaya Butala,5-26-2023,54.00 ,1953.87 ,3.14 
423.00 ,Taimur Krish,10-29-2022,29.00 ,1853.49 ,4.72 
424.00 ,Kismat Ramachandran,8-29-2022,31.00 ,1594.89 ,4.29 
425.00 ,Advika Bhandari,11-29-2022,38.00 ,1638.88 ,3.97 
426.00 ,Yakshit Walla,03-02-2023,96.00 ,688.83 ,3.11 
427.00 ,Neelofar Ramakrishnan,12-25-2022,97.00 ,1163.13 ,4.20 
428.00 ,Samarth Bajwa,2-24-2023,57.00 ,198.90 ,4.68 
429.00 ,Fateh Chad,10-13-2022,45.00 ,1496.61 ,3.47 
430.00 ,Parinaaz Kulkarni,10-04-2022,46.00 ,1979.75 ,3.01 
431.00 ,Madhav Devi,12-02-2022,30.00 ,1433.45 ,4.06 
432.00 ,Taran Dube,2-19-2023,99.00 ,1159.50 ,4.37 
433.00 ,Eva Kumar,02-03-2023,83.00 ,1964.26 ,4.88 
434.00 ,Neysa Chhabra,12-12-2022,66.00 ,1603.95 ,3.71 
435.00 ,Reyansh Divan,03-04-2023,61.00 ,1132.29 ,3.34 
436.00 ,Vardaniya Sanghvi,04-12-2023,34.00 ,175.96 ,3.34 
437.00 ,Taimur Dua,06-09-2023,15.00 ,137.00 ,3.44 
438.00 ,Lakshay Bath,10-01-2022,95.00 ,1759.28 ,3.36 
439.00 ,Saksham Sibal,06-05-2023,36.00 ,347.21 ,4.40 
440.00 ,Trisha Datta,09-12-2022,29.00 ,1746.33 ,4.58 
441.00 ,Zain Dewan,03-07-2023,87.00 ,125.29 ,3.54 
442.00 ,Biju Deshmukh,06-04-2023,51.00 ,118.13 ,4.38 
443.00 ,Tushar Kothari,01-11-2023,29.00 ,1951.86 ,3.38 
444.00 ,Krish Sarkar,8-16-2022,28.00 ,102.61 ,4.14 
445.00 ,Ojas Choudhury,2-14-2023,67.00 ,1570.82 ,4.36 
446.00 ,Samiha Subramaniam,01-01-2023,96.00 ,327.47 ,4.44 
447.00 ,Farhan Gopal,04-09-2023,16.00 ,921.41 ,3.37 
448.00 ,Prisha Mangat,11-05-2022,37.00 ,1234.92 ,3.31 
449.00 ,Ojas Kant,4-24-2023,18.00 ,376.95 ,3.52 
450.00 ,Rhea Trivedi,6-15-2023,27.00 ,1964.61 ,4.01 
451.00 ,Priyansh Jhaveri,06-09-2023,79.00 ,250.18 ,4.97 
452.00 ,Hrishita Luthra,06-07-2023,58.00 ,521.46 ,3.54 
453.00 ,Nirvaan Krish,11-24-2022,49.00 ,1825.39 ,3.47 
454.00 ,Ojas Sarna,1-14-2023,34.00 ,1339.27 ,4.03 
455.00 ,Ishita Arya,11-14-2022,86.00 ,1626.05 ,4.74 
456.00 ,Kaira Lad,03-07-2023,49.00 ,1572.47 ,3.91 
457.00 ,Yakshit Atwal,12-09-2022,67.00 ,1418.76 ,4.71 
458.00 ,Renee Jani,11-28-2022,47.00 ,939.84 ,4.79 
459.00 ,Mamooty Hans,6-25-2023,52.00 ,363.62 ,3.92 
460.00 ,Anya Dhar,02-05-2023,96.00 ,893.63 ,4.30 
461.00 ,Nirvi Dalal,12-27-2022,15.00 ,244.79 ,4.75 
462.00 ,Seher Kunda,11-14-2022,96.00 ,1826.73 ,3.83 
463.00 ,Ivan Varughese,2-20-2023,86.00 ,522.48 ,4.83 
464.00 ,Farhan Kalita,1-15-2023,68.00 ,1750.97 ,4.18 
465.00 ,Hridaan Sama,06-06-2023,71.00 ,1876.24 ,3.43 
466.00 ,Divit Dass,03-11-2023,85.00 ,1807.81 ,3.55 
467.00 ,Vardaniya Deo,8-16-2022,68.00 ,1039.87 ,4.39 
468.00 ,Urvi Jayaraman,1-28-2023,26.00 ,119.48 ,4.18 
469.00 ,Amira Goda,04-10-2023,45.00 ,693.74 ,5.00 
470.00 ,Kiaan Iyengar,12-01-2022,88.00 ,849.91 ,3.93 
471.00 ,Saksham Ray,03-07-2023,41.00 ,1435.66 ,3.05 
472.00 ,Prisha Dara,8-22-2022,93.00 ,648.38 ,4.79 
473.00 ,Misha Comar,10-17-2022,48.00 ,1462.35 ,3.82 
474.00 ,Badal Krishna,04-06-2023,53.00 ,1105.85 ,3.35 
475.00 ,Anahita Kale,1-20-2023,46.00 ,1817.30 ,3.86 
476.00 ,Ranbir Ramachandran,10-06-2022,29.00 ,1352.90 ,3.95 
477.00 ,Saksham Malhotra,2-15-2023,20.00 ,1551.00 ,3.04 
478.00 ,Baiju Sankar,3-24-2023,58.00 ,646.45 ,3.58 
479.00 ,Rohan Sinha,04-02-2023,83.00 ,1645.99 ,3.48 
480.00 ,Sumer Kakar,03-01-2023,36.00 ,1836.77 ,4.73 
481.00 ,Anahita Bhagat,3-21-2023,12.00 ,550.54 ,4.04 
482.00 ,Onkar Shanker,10-29-2022,12.00 ,1299.24 ,4.89 
483.00 ,Mohanlal Sunder,4-24-2023,27.00 ,1926.86 ,4.22 
484.00 ,Shanaya Dass,01-09-2023,22.00 ,194.26 ,3.21 
485.00 ,Tara Shankar,9-16-2022,69.00 ,1055.29 ,3.46 
486.00 ,Ivana Borra,4-15-2023,98.00 ,753.20 ,3.36 
487.00 ,Yuvaan Sani,04-08-2023,51.00 ,208.55 ,3.15 
488.00 ,Kiaan Banerjee,02-03-2023,82.00 ,585.88 ,3.73 
489.00 ,Yuvraj  Borra,07-09-2023,96.00 ,915.15 ,3.14 
490.00 ,Neysa Das,11-07-2022,53.00 ,325.09 ,4.85 
491.00 ,Mishti Kunda,6-13-2023,36.00 ,1667.14 ,3.32 
492.00 ,Anya Swamy,09-07-2022,41.00 ,1501.54 ,4.03 
493.00 ,Tushar Mahal,11-21-2022,19.00 ,293.96 ,4.53 
494.00 ,Veer Chad,04-06-2023,58.00 ,1542.97 ,4.82 
495.00 ,Chirag Dara,03-02-2023,50.00 ,1146.93 ,4.02 
496.00 ,Lakshay Bala,8-27-2022,58.00 ,839.29 ,3.67 
497.00 ,Zara Sane,03-05-2023,83.00 ,1318.20 ,3.13 
498.00 ,Rasha Ramesh,2-18-2023,67.00 ,259.67 ,3.59 
499.00 ,Anvi Verma,10-09-2022,76.00 ,1673.15 ,4.13 
500.00 ,Shamik Sha,03-03-2023,31.00 ,1770.56 ,3.92 
501.00 ,Kiaan Ravi,1-13-2023,51.00 ,1931.54 ,3.78 
502.00 ,Kiaan Sant,9-24-2022,89.00 ,584.95 ,3.99 
503.00 ,Parinaaz Bassi,12-18-2022,49.00 ,105.93 ,3.74 
504.00 ,Nakul Kulkarni,5-17-2023,98.00 ,1277.88 ,4.45 
505.00 ,Darshit Gera,02-09-2023,81.00 ,727.11 ,4.83 
506.00 ,Aaina Deshmukh,11-21-2022,75.00 ,248.58 ,3.74 
507.00 ,Faiyaz Suresh,12-04-2022,82.00 ,1025.26 ,3.13 
508.00 ,Baiju Bhatnagar,9-17-2022,76.00 ,1260.99 ,3.24 
509.00 ,Inaaya  Dara,07-10-2023,95.00 ,952.65 ,3.38 
510.00 ,Elakshi Sabharwal,08-12-2022,87.00 ,427.54 ,4.18 
511.00 ,Samaira Keer,9-22-2022,18.00 ,1480.64 ,3.67 
512.00 ,Jivin Kurian,06-12-2023,55.00 ,506.41 ,3.38 
513.00 ,Jayesh Venkataraman,5-31-2023,94.00 ,1791.09 ,4.76 
514.00 ,Dishani Dani,6-22-2023,52.00 ,793.62 ,3.50 
515.00 ,Manjari Loke,11-01-2022,34.00 ,1726.86 ,4.10 
516.00 ,Ayesha Ramanathan,3-25-2023,74.00 ,1172.72 ,3.26 
517.00 ,Aaryahi Thakur,12-04-2022,89.00 ,404.02 ,4.40 
518.00 ,Ivana Lala,07-02-2023,23.00 ,1654.27 ,4.77 
519.00 ,Shamik Viswanathan,4-15-2023,37.00 ,744.88 ,3.34 
520.00 ,Manikya Dugar,6-16-2023,94.00 ,1966.93 ,3.95 
521.00 ,Miraan Kant,04-03-2023,60.00 ,1066.27 ,3.36 
522.00 ,Dhanuk Mangat,3-19-2023,11.00 ,175.72 ,4.39 
523.00 ,Romil Sanghvi,10-28-2022,65.00 ,1125.75 ,4.01 
524.00 ,Zaina Dash,9-22-2022,90.00 ,972.20 ,4.32 
525.00 ,Aarush Zachariah,6-30-2023,52.00 ,860.91 ,4.33 
526.00 ,Akarsh Divan,5-19-2023,81.00 ,437.68 ,4.95 
527.00 ,Zara Kuruvilla,6-28-2023,55.00 ,1999.36 ,3.69 
528.00 ,Kartik Walia,1-18-2023,89.00 ,1740.38 ,4.10 
529.00 ,Myra Chakrabarti,9-28-2022,75.00 ,926.11 ,3.59 
530.00 ,Amani Sinha,2-15-2023,92.00 ,189.87 ,4.56 
531.00 ,Nitara Sahota,09-11-2022,98.00 ,1507.46 ,3.84 
532.00 ,Chirag Bhattacharyya,8-15-2022,83.00 ,1056.86 ,3.00 
533.00 ,Urvi Krishnamurthy,11-20-2022,90.00 ,773.64 ,3.95 
534.00 ,Divit Chaudhari,9-22-2022,16.00 ,1644.55 ,3.72 
535.00 ,Hansh Soman,11-11-2022,69.00 ,676.84 ,3.92 
536.00 ,Eshani Tak,03-02-2023,47.00 ,257.53 ,3.96 
537.00 ,Manjari Baria,09-05-2022,44.00 ,452.58 ,4.44 
538.00 ,Rhea Apte,4-23-2023,31.00 ,833.25 ,3.96 
539.00 ,Samaira Amble,07-09-2023,59.00 ,1460.79 ,4.94 
540.00 ,Misha Chaudhry,10-05-2022,37.00 ,1480.82 ,4.78 
541.00 ,Eshani Khalsa,12-19-2022,84.00 ,397.24 ,3.81 
542.00 ,Tiya Dhingra,07-11-2023,16.00 ,190.02 ,4.20 
543.00 ,Kavya Ram,5-22-2023,29.00 ,1331.83 ,4.08 
544.00 ,Kaira Zachariah,1-24-2023,66.00 ,1145.24 ,3.51 
545.00 ,Indrans Gera,06-08-2023,34.00 ,1754.35 ,4.76 
546.00 ,Himmat Dutt,4-27-2023,53.00 ,1574.65 ,3.50 
547.00 ,Biju Thakkar,8-28-2022,91.00 ,1690.97 ,4.56 
548.00 ,Elakshi Thakkar,12-27-2022,55.00 ,1717.08 ,4.69 
549.00 ,Tejas Gade,10-08-2022,46.00 ,593.56 ,4.85 
550.00 ,Navya Sarin,03-09-2023,92.00 ,1148.60 ,4.23 
551.00 ,Chirag Kapadia,4-29-2023,90.00 ,1782.28 ,4.09 
