driver_id,driver_name,join_date,rating,total_rides,earnings
130.00 ,Jivin Chander,02-01-2023,4.32 ,303.00 ,1987.06 
131.00 ,Adah Deshpande,11-23-2022,3.67 ,345.00 ,650.54 
132.00 ,Renee Dugar,2-21-2023,4.93 ,366.00 ,728.82 
133.00 ,Onkar Master,06-07-2023,3.40 ,296.00 ,743.66 
134.00 ,Dharmajan Babu,03-05-2023,3.21 ,460.00 ,4314.50 
135.00 ,Hiran Sahni,7-13-2023,4.96 ,360.00 ,3273.87 
136.00 ,Nirvi Rege,1-28-2023,3.66 ,135.00 ,3419.37 
137.00 ,Anay Arora,12-27-2022,4.68 ,182.00 ,3433.81 
138.00 ,Advika Gour,05-11-2023,3.38 ,203.00 ,4366.35 
139.00 ,Aarav Dayal,05-05-2023,4.34 ,221.00 ,4162.87 
140.00 ,Yuvraj  Mani,12-30-2022,3.48 ,323.00 ,668.10 
141.00 ,Raunak Luthra,02-01-2023,4.41 ,320.00 ,2981.06 
142.00 ,Suhana Toor,04-01-2023,3.99 ,294.00 ,4319.45 
143.00 ,Nakul Swaminathan,11-12-2022,3.15 ,201.00 ,1841.59 
144.00 ,Bhamini Dani,11-26-2022,3.38 ,233.00 ,3510.27 
145.00 ,Adira Dash,7-25-2023,3.13 ,291.00 ,3723.25 
146.00 ,Manjari Warrior,09-06-2022,4.00 ,416.00 ,2554.78 
147.00 ,Arhaan Dutt,06-10-2023,4.63 ,459.00 ,2767.79 
148.00 ,Kimaya Sur,8-23-2022,4.91 ,88.00 ,4900.94 
149.00 ,Elakshi Mahal,3-30-2023,4.47 ,484.00 ,1853.37 
150.00 ,Ishita Singhal,02-03-2023,4.05 ,408.00 ,2339.03 
151.00 ,Lagan Golla,5-26-2023,4.05 ,278.00 ,2858.61 
152.00 ,Armaan Dayal,10-30-2022,3.73 ,402.00 ,3512.72 
153.00 ,Reyansh Chawla,7-14-2023,3.04 ,458.00 ,4751.06 
154.00 ,Lakshit Srinivas,6-20-2023,4.71 ,361.00 ,3218.90 
155.00 ,Kabir Wadhwa,04-04-2023,3.65 ,50.00 ,4820.41 
156.00 ,Aradhya Lal,11-05-2022,3.12 ,499.00 ,1660.43 
157.00 ,Hrishita Mangat,11-14-2022,4.89 ,270.00 ,4275.88 
158.00 ,Hansh Mall,4-21-2023,3.46 ,393.00 ,2948.97 
159.00 ,Nirvaan Ganesh,4-18-2023,3.60 ,66.00 ,3158.25 
160.00 ,Piya Khurana,11-29-2022,3.80 ,417.00 ,4987.80 
161.00 ,Zoya Handa,1-17-2023,3.21 ,125.00 ,558.05 
162.00 ,Tara Tella,05-05-2023,3.91 ,202.00 ,809.97 
163.00 ,Arhaan Shukla,11-28-2022,4.74 ,469.00 ,2501.94 
164.00 ,Parinaaz Batra,7-14-2023,3.50 ,282.00 ,3756.16 
165.00 ,Shanaya Krishnan,3-24-2023,3.47 ,388.00 ,782.00 
166.00 ,Madhav Korpal,12-09-2022,3.79 ,131.00 ,1484.45 
167.00 ,Jiya Sani,4-13-2023,3.49 ,444.00 ,1063.51 
168.00 ,Neelofar Kannan,12-05-2022,4.48 ,404.00 ,2355.10 
169.00 ,Arnav Sibal,6-30-2023,4.63 ,138.00 ,4776.79 
170.00 ,Kabir Shetty,10-18-2022,3.53 ,414.00 ,1417.47 
171.00 ,Gokul Rama,10-11-2022,3.97 ,83.00 ,2454.77 
172.00 ,Prerak Srinivasan,12-21-2022,3.00 ,448.00 ,3788.29 
173.00 ,Nirvaan Karnik,2-23-2023,4.86 ,436.00 ,3886.44 
174.00 ,Anika Loyal,9-22-2022,4.07 ,231.00 ,4634.55 
175.00 ,Azad Ramanathan,11-05-2022,3.16 ,279.00 ,1652.07 
176.00 ,Kabir Srivastava,8-25-2022,3.89 ,116.00 ,4854.12 
177.00 ,Divij Ratta,09-06-2022,3.30 ,109.00 ,3649.62 
178.00 ,Ishaan Ben,06-07-2023,4.38 ,383.00 ,1059.73 
179.00 ,Fateh Varma,09-08-2022,3.97 ,353.00 ,2170.86 
180.00 ,Anahi Loke,9-20-2022,4.07 ,397.00 ,4264.59 
181.00 ,Farhan Mangat,2-15-2023,3.30 ,292.00 ,2411.43 
182.00 ,Akarsh Tailor,12-23-2022,4.88 ,65.00 ,1898.57 
183.00 ,Shamik Dasgupta,09-01-2022,4.65 ,50.00 ,3001.78 
184.00 ,Raunak Goswami,6-23-2023,3.24 ,436.00 ,1066.21 
185.00 ,Nakul Jain,02-06-2023,4.25 ,92.00 ,881.95 
186.00 ,Jiya Johal,4-24-2023,3.50 ,364.00 ,3606.01 
187.00 ,Kabir Kohli,7-15-2023,4.89 ,402.00 ,4187.20 
188.00 ,Anvi Walia,8-14-2022,4.84 ,83.00 ,4154.90 
189.00 ,Reyansh Bansal,04-07-2023,3.80 ,484.00 ,2957.91 
190.00 ,Ela Chandran,10-24-2022,4.47 ,247.00 ,4179.86 
191.00 ,Azad Rege,8-19-2022,4.25 ,111.00 ,4865.08 
192.00 ,Divit Lad,12-24-2022,4.14 ,393.00 ,2450.15 
193.00 ,Hazel Chandra,12-02-2022,4.79 ,342.00 ,3458.42 
194.00 ,Dharmajan Krish,1-29-2023,4.78 ,479.00 ,2130.19 
195.00 ,Ehsaan Kalla,01-01-2023,3.17 ,329.00 ,2324.99 
196.00 ,Misha Thakkar,10-21-2022,3.80 ,95.00 ,2512.15 
197.00 ,Indrans Mand,01-07-2023,4.72 ,158.00 ,3763.25 
198.00 ,Mannat Batta,7-16-2023,3.98 ,65.00 ,2282.00 
199.00 ,Armaan Garg,04-06-2023,4.91 ,353.00 ,3460.85 
200.00 ,Manjari Dani,08-05-2023,3.99 ,449.00 ,4907.61 
201.00 ,Bhavin Ravel,9-13-2022,4.95 ,406.00 ,3923.88 
202.00 ,Aayush Kashyap,7-31-2023,3.62 ,420.00 ,3400.64 
203.00 ,Shaan Kala,12-29-2022,4.32 ,389.00 ,4776.79 
204.00 ,Vritika Chaudry,10-23-2022,3.79 ,350.00 ,1752.39 
205.00 ,Jhanvi Randhawa,5-13-2023,4.71 ,279.00 ,2417.12 
206.00 ,Anaya Gola,3-24-2023,4.90 ,110.00 ,2282.96 
207.00 ,Hiran Edwin,8-21-2022,3.15 ,324.00 ,1317.79 
208.00 ,Indrajit Shere,12-29-2022,3.92 ,421.00 ,2202.10 
209.00 ,Jayesh Gopal,2-18-2023,4.85 ,195.00 ,1552.42 
210.00 ,Aayush Bains,12-18-2022,3.52 ,127.00 ,4916.84 
211.00 ,Gatik Gera,9-22-2022,3.54 ,309.00 ,4588.28 
212.00 ,Shalv Raman,9-27-2022,3.87 ,327.00 ,4700.02 
213.00 ,Inaaya  Agrawal,04-11-2023,4.91 ,68.00 ,3176.08 
214.00 ,Kashvi Srinivasan,12-09-2022,4.70 ,492.00 ,666.62 
215.00 ,Vaibhav Singhal,09-10-2022,4.33 ,495.00 ,1500.82 
216.00 ,Vanya Gaba,7-17-2023,4.05 ,324.00 ,1731.93 
217.00 ,Nirvi Cheema,2-28-2023,4.39 ,194.00 ,529.26 
218.00 ,Azad Hari,08-11-2022,4.85 ,87.00 ,4895.01 
219.00 ,Elakshi Bawa,2-18-2023,4.37 ,340.00 ,2200.80 
220.00 ,Kabir Sachar,10-18-2022,4.01 ,256.00 ,629.21 
221.00 ,Advik Kala,10-12-2022,3.38 ,324.00 ,1087.71 
222.00 ,Anvi Basu,10-02-2022,4.10 ,441.00 ,4432.51 
223.00 ,Aniruddh Dada,05-05-2023,3.16 ,205.00 ,3285.74 
224.00 ,Sana Kamdar,8-21-2022,3.72 ,264.00 ,1275.18 
225.00 ,Eva Ghosh,8-23-2022,4.40 ,164.00 ,688.98 
226.00 ,Shanaya Kala,8-24-2022,4.29 ,436.00 ,4222.43 
227.00 ,Jiya Raval,01-06-2023,4.09 ,251.00 ,1804.05 
228.00 ,Aradhya Brahmbhatt,03-08-2023,4.80 ,302.00 ,3397.64 
229.00 ,Ishita Bassi,5-20-2023,4.31 ,292.00 ,2300.27 
230.00 ,Ayesha Jha,11-23-2022,3.53 ,219.00 ,2614.32 
231.00 ,Fateh Mand,01-03-2023,3.15 ,284.00 ,2627.78 
232.00 ,Nehmat Karnik,07-03-2023,4.09 ,81.00 ,4484.79 
233.00 ,Dishani Jayaraman,11-30-2022,4.67 ,403.00 ,4329.39 
234.00 ,Tushar Talwar,11-15-2022,4.13 ,152.00 ,1989.39 
235.00 ,Farhan Mani,11-18-2022,3.95 ,489.00 ,4553.82 
236.00 ,Anahi Lata,2-26-2023,4.40 ,499.00 ,4797.79 
237.00 ,Hiran Yohannan,04-04-2023,4.06 ,296.00 ,4327.27 
238.00 ,Darshit Rege,04-06-2023,3.39 ,187.00 ,3283.34 
239.00 ,Veer Bhakta,4-29-2023,3.18 ,151.00 ,1776.59 
240.00 ,Yasmin Sawhney,01-04-2023,4.82 ,483.00 ,1756.11 
241.00 ,Abram Kant,1-18-2023,3.58 ,352.00 ,3823.66 
242.00 ,Zoya Choudhary,1-13-2023,3.34 ,186.00 ,3368.34 
243.00 ,Trisha Bali,12-11-2022,3.42 ,377.00 ,801.82 
244.00 ,Aarav Chand,6-24-2023,3.58 ,62.00 ,2203.20 
245.00 ,Urvi Venkataraman,08-10-2022,3.62 ,326.00 ,2477.40 
246.00 ,Baiju Wali,7-23-2023,3.42 ,224.00 ,4393.67 
247.00 ,Ranbir Acharya,06-10-2023,3.39 ,383.00 ,1629.45 
248.00 ,Samarth Dhillon,9-29-2022,4.88 ,215.00 ,3543.45 
249.00 ,Nitara Saran,5-24-2023,3.76 ,321.00 ,1882.22 
250.00 ,Mahika D’Alia,1-27-2023,3.42 ,425.00 ,3304.47 
251.00 ,Shlok Rajagopalan,11-17-2022,4.50 ,189.00 ,1605.79 
252.00 ,Pranay Ratta,10-18-2022,3.48 ,159.00 ,3028.35 
253.00 ,Pihu Biswas,12-31-2022,3.12 ,375.00 ,4657.73 
254.00 ,Mishti Bala,06-02-2023,4.63 ,375.00 ,2962.79 
255.00 ,Dhruv Din,01-01-2023,3.21 ,405.00 ,4375.08 
256.00 ,Rania Chandran,12-07-2022,3.61 ,325.00 ,2038.04 
257.00 ,Jayant Verma,6-18-2023,3.64 ,343.00 ,4440.31 
258.00 ,Anika Kala,12-04-2022,4.83 ,426.00 ,4853.14 
259.00 ,Diya Kurian,1-15-2023,5.00 ,108.00 ,4718.43 
260.00 ,Ahana  Ganesan,07-07-2023,4.33 ,55.00 ,4670.87 
261.00 ,Vivaan Mani,10-20-2022,3.39 ,209.00 ,1014.79 
262.00 ,Alisha Gole,8-30-2022,3.52 ,293.00 ,721.09 
263.00 ,Hunar Setty,06-02-2023,3.26 ,290.00 ,3152.90 
264.00 ,Bhamini Gera,9-26-2022,3.83 ,437.00 ,4731.91 
265.00 ,Shlok Banik,8-22-2022,3.75 ,367.00 ,3180.03 
266.00 ,Divij Chopra,03-09-2023,4.32 ,443.00 ,2256.90 
267.00 ,Shayak Saran,4-13-2023,3.77 ,263.00 ,2222.32 
268.00 ,Siya Bakshi,06-02-2023,3.85 ,313.00 ,2531.43 
269.00 ,Kiaan Mammen,7-20-2023,3.15 ,232.00 ,2703.41 
270.00 ,Seher Khurana,12-28-2022,4.60 ,83.00 ,3618.99 
271.00 ,Priyansh Dhar,1-16-2023,4.70 ,372.00 ,1577.97 
272.00 ,Miraya Kari,09-09-2022,4.94 ,246.00 ,4203.70 
273.00 ,Hridaan Wali,04-11-2023,4.02 ,60.00 ,2471.14 
274.00 ,Mamooty Sandhu,05-06-2023,4.12 ,238.00 ,3463.66 
275.00 ,Nirvaan Thaker,2-13-2023,4.30 ,130.00 ,3140.69 
276.00 ,Aradhya Bhargava,1-21-2023,4.44 ,70.00 ,4357.78 
277.00 ,Adah Sarkar,9-25-2022,4.89 ,130.00 ,3257.92 
278.00 ,Myra Vohra,5-22-2023,4.54 ,301.00 ,1436.00 
279.00 ,Shray Virk,2-23-2023,4.33 ,313.00 ,2945.05 
280.00 ,Navya Amble,12-15-2022,3.47 ,180.00 ,2052.84 
281.00 ,Yasmin Sibal,5-20-2023,4.06 ,140.00 ,4244.20 
282.00 ,Advika Khurana,8-22-2022,3.72 ,234.00 ,4679.51 
283.00 ,Kartik Gupta,4-26-2023,4.23 ,419.00 ,4917.30 
284.00 ,Shanaya Dara,2-22-2023,4.50 ,435.00 ,2283.55 
285.00 ,Ryan Bansal,07-01-2023,4.53 ,387.00 ,773.48 
286.00 ,Kavya Wason,3-16-2023,3.26 ,472.00 ,1932.89 
287.00 ,Jiya Guha,8-29-2022,3.88 ,91.00 ,672.88 
288.00 ,Divit Bava,07-11-2023,4.88 ,373.00 ,1792.24 
289.00 ,Seher Rattan,2-26-2023,4.51 ,107.00 ,4697.36 
290.00 ,Myra Gala,9-19-2022,3.48 ,344.00 ,1050.08 
291.00 ,Kabir Wali,3-18-2023,3.92 ,61.00 ,692.75 
292.00 ,Azad Kade,08-11-2022,3.60 ,84.00 ,2018.88 
293.00 ,Dhanush Sheth,7-23-2023,4.72 ,166.00 ,1255.24 
294.00 ,Kanav Dua,11-14-2022,3.64 ,137.00 ,3443.14 
295.00 ,Adira Setty,12-04-2022,3.69 ,286.00 ,4332.43 
296.00 ,Ayesha Sama,7-26-2023,4.39 ,245.00 ,4898.45 
297.00 ,Umang Bhalla,04-03-2023,4.60 ,302.00 ,1779.28 
298.00 ,Raunak Datta,03-07-2023,3.85 ,240.00 ,774.93 
299.00 ,Myra Wason,8-21-2022,4.89 ,474.00 ,2347.21 
300.00 ,Samar Grewal,10-13-2022,3.30 ,309.00 ,2764.28 
301.00 ,Parinaaz Kibe,01-02-2023,3.82 ,238.00 ,4805.05 
302.00 ,Oorja Chowdhury,07-07-2023,3.45 ,98.00 ,1174.28 
303.00 ,Ela Issac,3-18-2023,3.97 ,498.00 ,2571.97 
304.00 ,Rasha Dubey,3-15-2023,4.43 ,265.00 ,3366.34 
305.00 ,Shanaya Karnik,07-01-2023,3.07 ,429.00 ,4003.99 
306.00 ,Urvi Sharma,7-28-2023,4.86 ,52.00 ,3904.61 
307.00 ,Mamooty Kar,01-07-2023,3.47 ,236.00 ,1657.45 
308.00 ,Manjari Taneja,02-09-2023,4.92 ,414.00 ,3616.14 
309.00 ,Gokul Dyal,7-24-2023,3.69 ,170.00 ,956.61 
310.00 ,Seher Wali,2-19-2023,4.94 ,267.00 ,685.95 
311.00 ,Kashvi Buch,4-21-2023,3.38 ,146.00 ,3865.51 
312.00 ,Kaira Sachar,10-09-2022,4.35 ,101.00 ,1284.49 
313.00 ,Himmat Sridhar,7-30-2023,3.01 ,156.00 ,2190.75 
314.00 ,Amira Subramaniam,5-26-2023,4.84 ,367.00 ,3992.88 
315.00 ,Riaan Chaudhry,3-27-2023,4.90 ,420.00 ,2122.42 
316.00 ,Mehul Varghese,05-06-2023,4.83 ,455.00 ,4960.23 
317.00 ,Ela Dube,9-17-2022,4.83 ,153.00 ,1456.32 
318.00 ,Ranbir Chaudhry,5-24-2023,4.50 ,287.00 ,656.03 
319.00 ,Shanaya Brahmbhatt,07-11-2023,4.31 ,67.00 ,4580.23 
320.00 ,Diya Srivastava,7-18-2023,4.31 ,457.00 ,3854.22 
321.00 ,Bhavin Mangal,8-22-2022,3.38 ,65.00 ,3021.77 
322.00 ,Prisha Vala,07-04-2023,3.43 ,435.00 ,799.70 
323.00 ,Pihu Dey,7-28-2023,3.41 ,156.00 ,2817.92 
324.00 ,Anaya Mani,12-25-2022,4.36 ,150.00 ,4290.95 
325.00 ,Piya Majumdar,2-22-2023,4.94 ,389.00 ,3498.15 
326.00 ,Mohanlal Sunder,04-06-2023,3.13 ,87.00 ,1284.95 
327.00 ,Rania Trivedi,7-15-2023,4.00 ,359.00 ,1806.91 
328.00 ,Jivika Sahni,11-25-2022,3.37 ,483.00 ,1561.43 
329.00 ,Kaira Sarin,9-28-2022,4.43 ,83.00 ,3936.59 
330.00 ,Ritvik Bassi,3-24-2023,3.32 ,481.00 ,1586.56 
331.00 ,Purab Sinha,11-23-2022,4.24 ,117.00 ,4733.73 
332.00 ,Prisha Singhal,05-08-2023,3.59 ,386.00 ,4561.02 
333.00 ,Stuvan Bhardwaj,6-28-2023,3.00 ,109.00 ,2017.57 
334.00 ,Mahika Gera,12-30-2022,4.09 ,299.00 ,4590.25 
335.00 ,Nirvi Dubey,10-30-2022,4.30 ,230.00 ,1143.76 
336.00 ,Trisha Deol,1-24-2023,4.80 ,385.00 ,719.81 
337.00 ,Neelofar Bajwa,09-06-2022,3.25 ,214.00 ,2868.75 
338.00 ,Ehsaan Warrior,11-18-2022,3.17 ,391.00 ,3784.21 
339.00 ,Hridaan Srinivas,6-29-2023,4.71 ,71.00 ,4938.17 
340.00 ,Jayan Buch,04-05-2023,4.14 ,380.00 ,702.69 
341.00 ,Aaina Wason,2-17-2023,3.34 ,488.00 ,3662.08 
342.00 ,Tushar Cheema,12-01-2022,3.86 ,267.00 ,1015.99 
343.00 ,Badal Dube,11-22-2022,3.15 ,281.00 ,3081.16 
344.00 ,Kiaan Karnik,10-11-2022,3.26 ,288.00 ,2470.43 
345.00 ,Akarsh Upadhyay,09-08-2022,4.60 ,161.00 ,892.05 
346.00 ,Zara Jayaraman,11-07-2022,4.97 ,203.00 ,2241.06 
347.00 ,Yakshit Verma,06-03-2023,3.93 ,165.00 ,4238.28 
348.00 ,Shaan Barad,06-01-2023,4.43 ,341.00 ,4951.71 
349.00 ,Mahika Sur,6-13-2023,3.89 ,104.00 ,1660.94 
350.00 ,Purab Rajagopal,11-26-2022,3.84 ,390.00 ,3901.86 
351.00 ,Shlok Chada,03-08-2023,3.66 ,157.00 ,3036.27 
352.00 ,Advika Chhabra,5-25-2023,3.52 ,390.00 ,4287.97 
353.00 ,Ehsaan Mahajan,12-27-2022,3.13 ,341.00 ,4170.28 
354.00 ,Ranbir Balakrishnan,12-07-2022,4.01 ,230.00 ,3171.82 
355.00 ,Vedika Krishna,8-23-2022,4.33 ,61.00 ,2019.01 
356.00 ,Vardaniya Dayal,10-18-2022,3.33 ,301.00 ,3805.66 
357.00 ,Zaina Chakrabarti,02-10-2023,3.06 ,208.00 ,834.84 
358.00 ,Devansh Swamy,1-25-2023,3.83 ,310.00 ,3791.69 
359.00 ,Alisha Dubey,12-01-2022,3.31 ,430.00 ,800.15 
360.00 ,Jhanvi Kata,06-08-2023,4.87 ,155.00 ,4450.09 
361.00 ,Emir Tailor,9-20-2022,4.81 ,350.00 ,2386.24 
362.00 ,Ishita De,01-10-2023,3.75 ,211.00 ,1868.38 
363.00 ,Ishita Swaminathan,07-10-2023,3.59 ,256.00 ,840.77 
364.00 ,Divit Halder,06-04-2023,3.31 ,407.00 ,3428.51 
365.00 ,Faiyaz Bath,2-13-2023,4.57 ,111.00 ,2149.58 
366.00 ,Kabir Chaudhary,2-23-2023,4.32 ,178.00 ,2471.56 
367.00 ,Saira Chandra,6-29-2023,4.82 ,237.00 ,3378.05 
368.00 ,Vardaniya Tailor,09-11-2022,4.14 ,57.00 ,4797.94 
369.00 ,Ayesha Kapur,5-15-2023,4.46 ,183.00 ,3278.15 
370.00 ,Indrans Kanda,10-28-2022,3.53 ,210.00 ,3148.87 
371.00 ,Ayesha Johal,6-27-2023,4.95 ,125.00 ,4571.57 
372.00 ,Aarav Bedi,06-07-2023,3.74 ,311.00 ,1743.43 
373.00 ,Mehul Ahluwalia,12-01-2022,4.11 ,401.00 ,2297.25 
374.00 ,Vidur Varkey,03-12-2023,3.96 ,325.00 ,4401.69 
375.00 ,Inaaya  Mannan,07-07-2023,3.62 ,491.00 ,1467.53 
376.00 ,Hrishita Aggarwal,05-01-2023,3.82 ,251.00 ,4489.29 
377.00 ,Kaira Soni,10-11-2022,4.73 ,483.00 ,2667.20 
378.00 ,Jayan Tata,09-04-2022,3.52 ,412.00 ,673.03 
379.00 ,Anvi Bali,05-11-2023,3.75 ,402.00 ,4128.86 
380.00 ,Saksham Buch,10-23-2022,3.97 ,80.00 ,1191.42 
381.00 ,Indrans Rege,5-30-2023,4.39 ,107.00 ,1448.56 
382.00 ,Mannat Badal,9-29-2022,3.84 ,195.00 ,1426.80 
383.00 ,Biju Sandal,10-28-2022,4.14 ,452.00 ,851.18 
384.00 ,Arnav Rajan,5-13-2023,4.63 ,293.00 ,3173.86 
385.00 ,Stuvan Sharaf,11-21-2022,4.62 ,169.00 ,3727.40 
386.00 ,Rohan Kashyap,1-23-2023,3.00 ,206.00 ,3322.93 
387.00 ,Eva Kamdar,08-03-2023,4.06 ,224.00 ,1094.26 
388.00 ,Umang Tara,10-27-2022,3.70 ,231.00 ,2105.89 
389.00 ,Kismat Desai,12-09-2022,3.96 ,498.00 ,4785.78 
390.00 ,Reyansh Guha,11-23-2022,3.14 ,251.00 ,1849.65 
391.00 ,Zoya Som,8-16-2022,3.39 ,390.00 ,1145.48 
392.00 ,Urvi Edwin,6-22-2023,4.85 ,65.00 ,3234.08 
393.00 ,Yuvaan Ghose,10-22-2022,3.33 ,319.00 ,1490.59 
394.00 ,Ela Sridhar,06-06-2023,4.71 ,348.00 ,3572.34 
395.00 ,Damini Wali,11-17-2022,3.41 ,174.00 ,1337.22 
396.00 ,Lavanya Dube,9-21-2022,3.07 ,196.00 ,2833.55 
397.00 ,Amani Krishnan,02-12-2023,4.32 ,453.00 ,1904.86 
398.00 ,Anaya Ganguly,12-23-2022,4.75 ,356.00 ,1245.20 
399.00 ,Manjari Bal,7-17-2023,4.11 ,141.00 ,843.89 
400.00 ,Kartik Goswami,5-20-2023,3.97 ,399.00 ,3148.48 
401.00 ,Veer Dar,02-03-2023,4.84 ,335.00 ,2111.74 
402.00 ,Alisha Ghose,08-06-2023,4.46 ,60.00 ,2918.68 
403.00 ,Nirvaan Butala,10-21-2022,4.47 ,147.00 ,1790.94 
404.00 ,Indrajit Ghose,5-18-2023,4.68 ,102.00 ,1793.05 
405.00 ,Heer Varty,06-06-2023,4.17 ,424.00 ,3255.17 
406.00 ,Eshani Dasgupta,8-18-2022,3.69 ,415.00 ,1684.07 
407.00 ,Anvi Saxena,11-19-2022,4.98 ,103.00 ,3372.68 
408.00 ,Rohan Shenoy,5-15-2023,3.20 ,122.00 ,2105.77 
409.00 ,Diya Goswami,02-01-2023,3.10 ,388.00 ,4617.80 
410.00 ,Shaan Buch,10-07-2022,4.58 ,312.00 ,2782.93 
411.00 ,Krish Tandon,6-30-2023,4.95 ,479.00 ,4046.26 
412.00 ,Divyansh Kale,01-02-2023,4.75 ,121.00 ,1857.51 
413.00 ,Aniruddh Suri,8-20-2022,3.53 ,410.00 ,4624.22 
414.00 ,Indrans Dugar,12-13-2022,4.70 ,444.00 ,3191.24 
415.00 ,Nirvi Kala,8-17-2022,3.68 ,169.00 ,1994.12 
416.00 ,Miraan Sarna,02-09-2023,3.02 ,254.00 ,3152.12 
417.00 ,Tiya Ramaswamy,5-18-2023,4.65 ,282.00 ,661.71 
418.00 ,Shaan Salvi,08-07-2023,4.83 ,443.00 ,4335.70 
419.00 ,Raghav Sura,8-23-2022,4.39 ,165.00 ,4535.42 
420.00 ,Zara Rajagopal,5-17-2023,3.36 ,336.00 ,2449.78 
421.00 ,Aarush Gupta,11-26-2022,3.96 ,367.00 ,1831.02 
422.00 ,Ivana Khurana,10-06-2022,4.55 ,262.00 ,2354.27 
423.00 ,Rohan Karpe,5-26-2023,3.39 ,409.00 ,4666.18 
424.00 ,Taran Madan,6-26-2023,4.12 ,500.00 ,1325.64 
425.00 ,Saanvi Shah,10-17-2022,3.00 ,341.00 ,4759.55 
426.00 ,Stuvan Vora,12-07-2022,4.61 ,270.00 ,1579.55 
427.00 ,Ayesha Sahota,09-03-2022,4.12 ,386.00 ,1379.12 
428.00 ,Farhan Balay,03-07-2023,3.23 ,495.00 ,1785.63 
429.00 ,Suhana Boase,03-08-2023,4.83 ,170.00 ,1569.72 
430.00 ,Shray Atwal,11-02-2022,4.68 ,91.00 ,906.58 
431.00 ,Saira Hari,02-07-2023,4.37 ,199.00 ,3764.90 
432.00 ,Pihu Sampath,3-20-2023,3.26 ,134.00 ,2418.99 
433.00 ,Jayant Virk,10-25-2022,4.80 ,257.00 ,2642.44 
434.00 ,Anahita Kalla,05-04-2023,4.60 ,498.00 ,2377.47 
435.00 ,Pari Mallick,12-25-2022,3.43 ,105.00 ,3268.99 
436.00 ,Suhana Behl,03-12-2023,3.19 ,248.00 ,2848.47 
437.00 ,Nirvaan Bhatti,5-31-2023,4.69 ,380.00 ,1825.95 
438.00 ,Mohanlal Lanka,07-12-2023,4.29 ,64.00 ,4043.73 
439.00 ,Miraan Hora,04-06-2023,4.65 ,233.00 ,841.20 
440.00 ,Aayush Srinivasan,09-09-2022,4.77 ,87.00 ,711.17 
441.00 ,Farhan Batta,3-23-2023,3.70 ,400.00 ,557.18 
442.00 ,Indrajit Varkey,3-27-2023,4.42 ,498.00 ,3342.07 
443.00 ,Kismat Sawhney,9-20-2022,4.14 ,440.00 ,775.18 
444.00 ,Priyansh Suresh,12-23-2022,4.77 ,188.00 ,2196.64 
445.00 ,Manikya Deep,3-28-2023,4.13 ,279.00 ,1336.54 
446.00 ,Nehmat Chahal,08-11-2022,4.14 ,433.00 ,4570.18 
447.00 ,Ela Korpal,2-18-2023,3.51 ,339.00 ,3281.71 
448.00 ,Vaibhav Sodhi,03-07-2023,3.95 ,350.00 ,2731.12 
